talk_id,start,duration
1,2020-01-21T16:00:00Z,1980
286,2020-01-21T18:00:00Z,1316
148,2020-01-21T18:21:56Z,426
308,2020-01-21T19:00:00Z,1172
261,2020-01-21T19:19:32Z,1108
322,2020-01-21T18:00:00Z,1143
218,2020-01-21T18:19:03Z,915
112,2020-01-21T19:00:00Z,1164
273,2020-01-21T19:19:24Z,1079
314,2020-01-21T18:00:00Z,1174
182,2020-01-21T18:19:34Z,848
274,2020-01-21T19:00:00Z,937
167,2020-01-21T19:15:37Z,276
180,2020-01-21T19:20:13Z,284
251,2020-01-21T19:24:57Z,288
328,2020-01-21T19:29:45Z,270
3,2020-01-21T20:00:00Z,2400
262,2020-01-21T22:00:00Z,1330
214,2020-01-21T22:22:10Z,1031
309,2020-01-21T23:00:00Z,1206
327,2020-01-21T23:20:06Z,1200
125,2020-01-21T22:00:00Z,1180
279,2020-01-21T22:19:40Z,913
239,2020-01-21T23:00:00Z,1220
128,2020-01-21T23:20:20Z,292
134,2020-01-21T23:25:12Z,298
254,2020-01-21T23:30:10Z,299
307,2020-01-21T23:35:09Z,293
222,2020-01-21T22:00:00Z,982
323,2020-01-21T22:16:22Z,870
315,2020-01-21T23:00:00Z,1429
117,2020-01-21T23:23:49Z,246
193,2020-01-21T23:27:55Z,299
225,2020-01-21T23:32:54Z,294
224,2020-01-21T23:37:48Z,271
2,2020-01-22T00:00:00Z,2400
290,2020-01-22T02:00:00Z,1125
221,2020-01-22T02:18:45Z,629
291,2020-01-22T03:00:00Z,1200
179,2020-01-22T03:20:00Z,750
187,2020-01-22T02:00:00Z,1257
246,2020-01-22T02:20:57Z,763
186,2020-01-22T03:00:00Z,1054
100,2020-01-22T03:17:34Z,261
162,2020-01-22T03:21:55Z,300
163,2020-01-22T03:26:55Z,295
185,2020-01-22T03:31:50Z,293
293,2020-01-22T02:00:00Z,1094
312,2020-01-22T02:18:14Z,480
335,2020-01-22T02:26:14Z,300
278,2020-01-22T03:00:00Z,1195
114,2020-01-22T03:19:55Z,271
245,2020-01-22T03:24:26Z,285
303,2020-01-22T03:29:11Z,302
334,2020-01-22T03:34:13Z,298
1,2020-01-22T04:00:00Z,1980
286,2020-01-22T06:00:00Z,1316
148,2020-01-22T06:21:56Z,426
308,2020-01-22T07:00:00Z,1172
261,2020-01-22T07:19:32Z,1108
322,2020-01-22T06:00:00Z,1143
218,2020-01-22T06:19:03Z,915
112,2020-01-22T07:00:00Z,1164
273,2020-01-22T07:19:24Z,1079
314,2020-01-22T06:00:00Z,1174
182,2020-01-22T06:19:34Z,848
274,2020-01-22T07:00:00Z,937
167,2020-01-22T07:15:37Z,276
180,2020-01-22T07:20:13Z,284
251,2020-01-22T07:24:57Z,288
328,2020-01-22T07:29:45Z,270
3,2020-01-22T08:00:00Z,2400
262,2020-01-22T10:00:00Z,1330
214,2020-01-22T10:22:10Z,1031
309,2020-01-22T11:00:00Z,1206
327,2020-01-22T11:20:06Z,1200
125,2020-01-22T10:00:00Z,1180
279,2020-01-22T10:19:40Z,913
239,2020-01-22T11:00:00Z,1220
128,2020-01-22T11:20:20Z,292
134,2020-01-22T11:25:12Z,298
254,2020-01-22T11:30:10Z,299
307,2020-01-22T11:35:09Z,293
222,2020-01-22T10:00:00Z,982
323,2020-01-22T10:16:22Z,870
315,2020-01-22T11:00:00Z,1429
117,2020-01-22T11:23:49Z,246
193,2020-01-22T11:27:55Z,299
225,2020-01-22T11:32:54Z,294
224,2020-01-22T11:37:48Z,271
2,2020-01-22T12:00:00Z,2400
290,2020-01-22T14:00:00Z,1125
221,2020-01-22T14:18:45Z,629
291,2020-01-22T15:00:00Z,1200
179,2020-01-22T15:20:00Z,750
187,2020-01-22T14:00:00Z,1257
246,2020-01-22T14:20:57Z,763
186,2020-01-22T15:00:00Z,1054
100,2020-01-22T15:17:34Z,261
162,2020-01-22T15:21:55Z,300
163,2020-01-22T15:26:55Z,295
185,2020-01-22T15:31:50Z,293
293,2020-01-22T14:00:00Z,1094
312,2020-01-22T14:18:14Z,480
335,2020-01-22T14:26:14Z,300
278,2020-01-22T15:00:00Z,1195
114,2020-01-22T15:19:55Z,271
245,2020-01-22T15:24:26Z,285
303,2020-01-22T15:29:11Z,302
334,2020-01-22T15:34:13Z,298
